id,socname,daily,inter.trade,food_storage,soc_strat,DepGath_v203,DepHunt_v204,DepFish_v205,DepAnHusb_v206,DepAg_v207,Revised.latitude,Revised.longitude,focyear,temp_pred,npp_pred,precip_pred,comm_size,labor_share
2,Kung Bushmen,1,2,1,1,8,2,0,0,0,-19.83,20.58,1950,0.668188523,0.513881643,0.476176944,1,1
3,Thonga,1,4,2,1,0,1,1,3,5,-25.83,32.33,1865,0.718662611,0.496795634,0.634970748,NA,NA
8,Nyakyusa,1,2,1,2,0,1,1,2,6,-9.5,34,1934,0.752033892,0.429806143,0.728508561,3,1
9,Hadza,1,2,1,1,6,4,0,0,0,-3.75,35.18,1930,0.741498826,0.522523518,0.667924294,1,0
12,Ganda,0,4,1,2,0,1,1,1,7,0.33,32.5,1875,0.779701391,0.409248248,0.604572546,7,0
13,Mbuti,1,4,1,1,3,7,0,0,0,1.5,28.33,1950,0.816795745,0.312753559,0.784538547,3,1
21,Wolof,0,5,2,2,0,0,1,3,6,13.75,-15.33,1950,0.770896687,0.603688112,0.550238113,8,1
22,Bambara,0,4,2,4,2,0,1,2,5,12.5,-7,1902,0.715705273,0.545084959,0.645309212,7,NA
23,Tallensi,0,5,3,4,1,0,0,2,7,10.66,-0.57,1934,0.727287881,0.515679172,0.634377422,5,NA
24,Songhai,0,4,NA,4,0,0,2,3,5,16.58,-1.67,1940,0.669153854,0.726097816,0.579141479,7,NA
25,Pastoral Fulani,0,5,2,2,0,0,0,9,1,15,7.5,1951,0.6750865,0.650571365,0.580981932,2,0
26,Hausa,0,5,5,5,1,0,0,3,6,10.5,7.5,1900,0.736220254,0.480224142,0.626720364,8,1
30,Otoro Nuba,0,4,2,4,0,2,0,2,6,11.33,30.67,1930,0.720400228,0.557184621,0.654283409,NA,0
32,Mao,0,4,2,1,1,1,1,1,6,9.27,34.67,1939,0.760789842,0.431973423,0.633592306,NA,NA
35,Konso,0,2,2,5,0,0,0,2,8,5.25,37.5,1935,0.737532985,0.480422059,0.555400858,6,NA
36,Somali,0,4,2,4,0,0,0,9,1,9,47.25,1900,0.723550239,0.821295787,0.598009921,1,0
37,Amhara,0,5,2,3,0,0,1,3,6,12.5,37.75,1953,0.722535314,0.553089481,0.519560893,8,0
40,Teda,0,5,NA,1,2,0,0,3,5,20.5,17.5,1950,0.641627338,0.824403033,0.303939394,2,0
42,Riffians,0,4,2,4,0,1,1,3,5,34.92,-3.25,1926,0.655456608,0.717130605,0.456040806,7,0
43,Egyptians,0,5,2,5,0,0,1,3,6,24.75,33,1950,0.657733079,0.649870217,0.351085543,8,NA
47,Turks,0,4,2,4,0,0,0,4,6,39.33,34.25,1950,0.61180057,0.683679483,0.617796488,8,0
51,Irish,0,5,5,4,0,1,0,4,5,53.5,-10,1932,0.748178587,0.597385463,0.76708049,8,0
52,Lapps,1,4,2,1,0,2,2,6,0,68.7,21.5,1950,0.521744634,0.826930878,0.731691465,1,1
54,Russians,0,4,4,5,0,0,0,3,7,52.67,41.33,1955,0.525655787,0.715774624,0.672912313,8,1
57,Kurd,0,5,2,5,0,0,1,4,5,36.5,44.5,1951,0.610643704,0.695306307,0.451745288,NA,0
58,Basseri,0,5,2,2,0,1,0,8,1,29,53,1958,0.647558985,0.857735909,0.290920612,5,1
59,Punjabi (West),0,4,2,3,0,0,0,2,8,32.5,74,1950,0.613192098,0.480295975,0.397476897,8,0
60,Gond,0,4,2,1,2,1,0,2,5,19.63,80.92,1938,0.691012822,0.414356826,0.549625275,2,1
62,Santal,0,4,2,2,0,1,1,1,7,23.5,87.17,1940,0.642094263,0.560890102,0.486404492,NA,NA
66,Khalka Mongols,0,5,2,1,0,1,0,8,1,47.17,96.08,1920,0.552929659,0.858334094,0.666659915,1,1
68,Lepcha,0,4,2,2,0,1,0,3,6,27.5,89,1937,0.69638479,0.463224225,0.534284911,3,0
70,Lakher,0,2,2,3,0,2,1,1,6,22.33,93,1930,0.721559698,0.384037792,0.585944256,NA,NA
71,Burmese,1,5,2,4,0,0,0,2,8,22,95.67,1965,0.693668726,0.619573301,0.534675439,8,0
72,Lamet,0,2,2,2,1,2,0,2,5,20,100.67,1940,0.68498808,0.402033976,0.591187325,2,NA
73,Vietnamese,0,4,2,4,0,0,2,2,6,20.5,106.25,1930,0.694632321,0.514059476,0.620375247,8,0
76,Siamese,0,4,2,5,0,0,1,1,8,14,100.85,1955,0.710509079,0.528310362,0.668414215,6,0
83,Javanese,0,5,5,4,0,0,0,2,8,-7.7,112.22,1954,0.814093763,0.454626764,0.654488941,7,0
84,Balinese,0,5,3,4,0,0,0,3,7,-8.5,115.33,1958,0.835891421,0.409512173,0.625700618,4,0
85,Iban,0,4,2,1,0,0,2,2,6,2,113,1950,0.85501586,0.377001354,0.684465027,NA,0
86,Badjau,0,5,2,3,0,0,8,0,2,5,120,1963,0.842628436,0.487524505,0.699791859,4,0
90,Tiwi,0,4,1,2,5,3,2,0,0,-11.38,131,1929,0.809061767,0.429912143,0.604742188,3,0
92,Orokaiva,1,2,2,1,1,1,2,1,5,-8.5,148,1925,0.828001524,0.421314683,0.731858749,2,0
93,Kimam,0,1,2,4,2,1,1,0,6,-7.5,138.5,1960,0.835337738,0.379925481,0.648898766,4,1
96,Manus,0,7,1,3,0,0,9,1,0,-2.17,147.17,1937,0.842232695,0.383756871,0.625105769,3,0
98,Trobrianders,0,5,3,2,1,0,3,1,5,-8.54,151.01,1914,0.848110871,0.504359748,0.672301215,3,0
99,Siuai,0,5,2,1,2,1,0,2,5,-6.76,155.45,1939,0.859139734,0.40394484,0.72167192,NA,1
100,Tikopia,1,2,2,4,0,0,5,0,5,-12.29,168.83,1930,0.844851678,0.50831431,0.677857147,5,1
104,Maori,0,4,2,2,3,1,2,0,4,-35.33,174.17,1820,0.777040984,0.570678659,0.621173695,4,1
108,Marshallese,1,4,2,2,1,0,5,0,4,6.28,169.49,1900,NA,NA,NA,3,0
109,Trukese,1,4,2,3,0,0,5,0,5,7.34,151.6,1947,0.854249051,0.477872279,0.697768963,3,1
112,Ifugao,0,4,2,4,0,2,1,1,6,16.83,121.17,1910,0.775758585,0.404331762,0.637429684,3,0
117,Japanese,0,5,2,5,0,0,0,1,9,34.67,133.67,1950,0.69974674,0.477981192,0.656782616,8,0
118,Ainu,0,4,2,1,2,3,4,0,1,42.83,143,1880,0.610077986,0.666449744,0.702515747,1,0
121,Chukchee,0,4,2,1,0,2,3,5,0,66.5,179.6,1900,0.4673705,0.878524426,0.623083252,1,NA
124,Copper Eskimo,1,2,2,1,0,4,6,0,0,68.72,-112.53,1915,0.434701346,0.897628763,0.676987644,1,1
130,Eyak,1,2,2,1,2,3,5,0,0,60.5,-145,1890,0.541454996,0.702620006,0.667805767,1,1
131,Haida,0,4,2,2,2,2,6,0,0,54,-132.5,1875,0.633101313,0.553202816,0.709648746,NA,NA
132,Bellacoola,0,2,2,1,2,2,6,0,0,52.33,-126.5,1880,0.541918409,0.738420842,0.674157665,2,0
141,Hidatsa,0,2,2,4,1,2,1,0,6,47,-101,1836,0.508878774,0.678529899,0.633481258,5,NA
142,Pawnee,0,4,2,3,1,4,0,0,5,42,-100,1867,0.526247596,0.637256184,0.613605807,4,NA
144,Huron,0,4,2,5,1,1,3,0,5,44.5,-79,1634,0.556715243,0.668149871,0.706719488,5,0
150,Havasupai,1,2,2,2,3,2,0,0,5,35.83,-112.17,1918,0.588108958,0.746511546,0.44606464,3,NA
151,Papago,1,5,1,3,3,2,0,0,5,32,-112,1910,0.614612452,0.71068508,0.403531842,NA,1
154,Popoluca,0,2,NA,4,0,1,1,0,8,18.25,-94.83,1940,0.75138058,0.456399787,0.747256961,NA,0
156,Miskito,1,2,1,3,3,2,2,1,2,15,-83,1921,0.856405403,0.457351465,0.715106202,3,0
159,Goajiro,0,4,2,1,0,1,1,7,1,11.92,-71.75,1947,0.858467477,0.633669174,0.695438965,1,0
160,Haitians,1,4,5,5,0,0,0,2,8,18.83,-72.17,1935,0.836500495,0.548155824,0.654885925,8,1
162,Warrau,0,2,1,1,4,3,2,0,1,9.08,-62,1935,0.833988352,0.436085734,0.776031139,2,0
165,Saramacca,0,2,2,2,1,2,2,0,5,3.5,-55.75,1928,0.724681911,0.385492814,0.726687272,NA,0
173,Siriono,0,2,1,1,3,5,1,0,1,-14.5,-63.5,1942,0.699749967,0.380418403,0.627940061,1,1
179,Shavante,1,2,1,3,4,3,1,0,2,-13.5,-51.5,1958,0.706246565,0.461531248,0.585009656,3,0
182,Lengua,0,2,1,2,2,5,2,0,1,-23,-58.5,1889,0.628947046,0.374049808,0.608324256,NA,NA
186,Yahgan,1,1,1,1,1,2,7,0,0,-55.5,-69.5,1865,0.718842882,0.648302446,0.817754903,1,1
